,,Winning Portfolio,,,,,,,,,,Winning Portfolio,,,,,,,,
EMEA WEST,Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes
EMEA EAST,Islamic Republic of Iran,Yes,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,Partial,No
EMEA EAST,Israel,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Italy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,Japan,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,No,No,no,no,Partial,No
EMEA EAST,Jordan,No,No,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Kazakhstan,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Kenya,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,Yes
EMEA EAST,Kosovo,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Kuwait,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,Aqua A assessment
EMEA EAST,Kyrgyzstan,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Laos,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA WEST,Latvia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Lebanon,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Libya,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,Concentrates assessment,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No
EMEA WEST,Lithuania,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA WEST,Luxembourg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
China & HK,Macau Special Administrative Region of China,,,,,,,,,,,,,,,,,,,
EMEA EAST,Madagascar,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Malawi,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Malaysia,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,No,No,Yes,Yes,No,No,No,Partial,No
APAC,Maldives,Yes,Yes,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Mali,No,No,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Malta,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Mauritania,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Mauritius,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Mexico,Yes,Yes,Yes,Yes,FME Alternative,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,No,Yes,No,Partial,No
EMEA EAST,Mongolia,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Montenegro,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Morocco,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,Aqua A assessment
EMEA EAST,Mozambique,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Myanmar,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Namibia,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Nepal,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Netherlands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
APAC,New Zealand,Yes,Yes,No,Yes,FME alternative,Yes,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Partial,Introduce CDS
LATAM,Nicaragua,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Niger,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Nigeria,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,North Macedonia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Northern Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes
EMEA WEST,Norway,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,"6008 Assessment
Aqua A assessment"
EMEA EAST,Oman,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,CorAL assessment
APAC,Pakistan,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Palestine,No,No,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,6008 Assessment
LATAM,Panama,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
LATAM,Paraguay,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
LATAM,Peru,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No
APAC,Philippines,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Poland,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
EMEA WEST,Portugal,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No
EMEA EAST,Qatar,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,Yes,Yes,No,Yes,No,No,No,Partial,No
APAC,Republic of Korea,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Republic of Moldova,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Romania,Yes,Yes,No,Yes,No,Yes,No,Partial,No,,Yes,Yes,No,Yes,No,Yes,No,Partial,No
EMEA EAST,Russian Federation,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,6008 Assessment
EMEA EAST,Rwanda,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Saudi Arabia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,CorAL assessment
EMEA EAST,Senegal,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Serbia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Seychelles,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,Yes
APAC,Singapore,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,No,No,Yes,Yes,No,Yes,No,Partial,Evaluate Coral Introduction
EMEA WEST,Slovakia,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,No,No,No,Partial,CorAL assessment
EMEA EAST,Slovenia,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No
EMEA EAST,South Africa,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial,Concentrates alternative,,No,No,Yes,Yes,No,Yes,Yes,Partial,Yes
EMEA WEST,Spain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,Yes
APAC,Sri Lanka,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Sudan,No,No,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA WEST,Sweden,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
DACH,Switzerland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Complete,No
EMEA EAST,Syrian Arab Republic,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Taiwan Province of China,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,Yes,Yes,Yes,No,No,Partial,No
EMEA EAST,Tajikistan,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
APAC,Thailand,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,,No,no,Yes,Yes,No,No,No,Partial,No
EMEA EAST,Togo,No,No,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Trinidad and Tobago,No,No,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
EMEA EAST,Tunisia,Yes,Yes,No,Yes,FME alternative,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Turkiye,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,No,No,No,Partial,No
EMEA EAST,Turkmenistan,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Uganda,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Ukraine,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,CorAL assessment
EMEA EAST,United Arab Emirates,Yes,Yes,No,Yes,FME alternative,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No
EMEA EAST,United Republic of Tanzania,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,Yes
LATAM,Uruguay,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No
EMEA EAST,Uzbekistan,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
LATAM,Venezuela,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,Yes,Yes,No,No,Partial,No
APAC,Vietnam,Yes,Yes,No,Yes,Yes,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Yemen,No,No,No,Yes,No,Yes,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Zambia,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
EMEA EAST,Zimbabwe,Yes,Yes,No,Yes,Yes,No,No,Partial,No,,No,No,No,Yes,No,No,No,Partial,No
"United 
States",United States of America,,,,,,,,,,,,,,,,,,,
Global ,,,,,,,,,,,,,,,,,,,,
