EMEA EAST,Armenia,Yes,Yes,No,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
APAC,Australia,FME Alternative,Yes,FME alternative,FME alternative,Yes,No,Yes,No,FME alternative (Smartbag),No,No,No,No,No,No,Yes,Yes,Partial,"Introduce digital solution, bloodlines and acid concentrate",,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,"Introduce digital solution, bloodlines and acid concentrate"
DACH,Austria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Partial,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Azerbaijan,Yes,Yes,No,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Bahrain,No,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,7connect assessment,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,Concentrates assessment
APAC,Bangladesh,FME Alternative,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Partial,"Introduce 3P for Acid, bloodline,  Turkey WTS",,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,currently not available,Yes (Smartbag),Yes,Yes,Yes,Partial,"Introduce 3P for Acid, aquaB, bloodline, needlesTG"
EMEA EAST,Belarus,Yes,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA WEST,Belgium,No,Yes,FME alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Partial,No,,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,No,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
LATAM,Belize,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,No,No,Partial,No
EMEA EAST,Benin,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
APAC,Bhutan,FME Alternative,No,FME alternative,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,No,No,Partial,No
LATAM,Bolivia,FME Alternative,Yes,FME Alternative,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,No,No,Partial,No
EMEA EAST,Bosnia and Herzegovina - Federation,Yes,Yes,FME alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,7connect assessment,,no,Yes,No,no,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,Concentrates assessment
EMEA EAST,Botswana,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
LATAM,Brazil,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,No,3P/Local Alternative,Yes,Yes,Partial,Yes
APAC,Brunei Darussalam,FME Alternative,Yes,Yes,No,No,No,No,No,FME alternative (Smartbag),No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,currently not available,No,No,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Partial,7connect assessment,,yes,Yes,No,yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,Yes,Yes,No,Yes,Partial,Concentrates assessment
EMEA EAST,Burkina Faso,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
APAC,Cambodia,FME Alternative,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,Introduce 3P for Acid,,Yes,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,No,No,Partial,No
EMEA EAST,Cameroon,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA WEST,Canada,FME Alternative,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Partial,"WTS launch, 7connect assestment",,No,Yes,FME Alternative,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Yes,Yes,Partial,Yes
EMEA EAST,Chad,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
LATAM,Chile,FME Alternative,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
China & HK,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATAM,Colombia,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
LATAM,Costa Rica,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,No,No,No,currently not available,Yes,Yes,No,No,Partial,No
EMEA EAST,Cote d'Ivoire,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Croatia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,7connect assessment,,yes,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,TDMS assessment
LATAM,Cuba,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,No,No,No,currently not available,Yes,Yes,No,No,Partial,No
LATAM,Curacao,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,No,No,No,currently not available,Yes,Yes,No,No,Partial,No
EMEA EAST,Cyprus,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA WEST,Czech Republic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,,no,Yes,Yes,no,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,TDMS assessment
EMEA EAST,Democratic Republic of Congo,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA WEST,Denmark,No,Yes,FME alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Partial,No,,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
LATAM,Dominican Republic,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,No,No,Partial,No
LATAM,Ecuador,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Egypt,Yes,Yes,Yes,yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,CorAL assessment
LATAM,El Salvador,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,No,No,Partial,No
EMEA EAST,Eritrea,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Estonia,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Partial,7connect assessment,,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Eswatini,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
EMEA EAST,Ethiopia,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA WEST,Finland,No,Yes,FME alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA WEST,France,No,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,7connect assessment,,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,TDMS assessment
EMEA EAST,Gabon,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,No,No,Partial,No
EMEA EAST,Gambia,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Georgia,Yes,Yes,No,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
DACH,Germany,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Ghana,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
EMEA WEST,Great Britain,FME Alternative,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Greece,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,No
LATAM,Guatemala,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,No,No,Partial,No
LATAM,Honduras,FME Alternative,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Partial,No,,Yes,Yes,FME Alternative,Yes,No,No,Yes,No,No,No,No,No,currently not available,Yes,Yes,No,No,Partial,No
China & HK,Hong Kong Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Hungary,Yes,Yes,FME alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
EMEA WEST,Iceland,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,no,Yes,No,no,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,CorAL assessment
APAC,India,FME Alternative,Yes,Yes,Yes,Yes,FME alternative,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Partial,"Introduce 3P for Acid, Turkey WTS",,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,Introduce needles TG & evaluate coral
APAC,Indonesia,FME Alternative,Yes,Yes,3P,Yes,FME alternative,Yes,Yes,3P,No,No,No,No,No,No,Yes,Yes,Partial,Introduce Turkey RO,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,currently not available,No,Yes,Yes,Yes,Partial,"Evaluate CDS, Coral and install relaunch AquaBplus"
EMEA EAST,Iraq,No,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,7connect assessment,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA WEST,Ireland,FME Alternative,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Islamic Republic of Iran,No,No,No,yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Partial,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Israel,No,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,"Y, BY DISTRIBUTOR",No,Yes,Yes,Partial,7connect assessment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Italy,No,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
APAC,Japan,FME Alternative,No,FME alternative,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,No,No,Partial,No
EMEA EAST,Jordan,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Kazakhstan,Yes,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Kenya,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,Yes
EMEA EAST,Kosovo,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Kuwait,No,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,7connect assessment,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Kyrgyzstan,Yes,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
APAC,Laos,FME Alternative,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,Introduce 3P for Acid,,Yes,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,No,No,Partial,No
EMEA WEST,Latvia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Partial,7connect assessment,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Lebanon,Yes,Yes,Yes,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Libya,No,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,Yes,Partial,CDS assessment
EMEA WEST,Lithuania,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Partial,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA WEST,Luxembourg,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Partial,No,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
China & HK,Macau Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Madagascar,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Malawi,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
APAC,Malaysia,FME Alternative,Yes,Yes,FME alternative,Yes,No,Yes,Yes,FME alternative (Smartbag),Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,"Introduce digital solution, introduce Turkey RO",,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,currently not available,No,Yes,Yes,Yes,Partial,"Introduce Needles, evaluate CDS & Coral"
APAC,Maldives,FME Alternative,No,FME alternative,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,currently not available,Yes (Smartbag),No,No,No,Partial,No
EMEA EAST,Mali,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Malta,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Mauritania,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Mauritius,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
LATAM,Mexico,FME Alternative,Yes,FME Alternative,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,Yes,Yes,No,No,Yes,No,No,currently not available,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Mongolia,Yes,Yes,No,yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,currently not available,No,Yes,No,No,Partial,No
EMEA EAST,Montenegro,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partial,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,No,Yes,Partial,No
EMEA EAST,Morocco,Yes,Yes,FME alternative,yes,Yes,No,Yes,Yes,3P/Local Alternative,No,No,Yes,Yes,No,No,Yes,Yes,Partial,7connect assessment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
EMEA EAST,Mozambique,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,No,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
APAC,Myanmar,FME Alternative,No,Yes,FME alternative,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,currently not available,No,No,No,No,Partial,No
EMEA EAST,Namibia,FME Alternative,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Partial,No,,Yes,Yes,FME Alternative,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,Yes,Yes,Yes,Partial,No
